"","city","state","median_age","male","female","average_household_size","state_code","white","american","hispanic","black","asian","perc_veterans","perc_foreign_born"
"1","Newark","New Jersey",34.6,0.4897,0.5103,2.73,"NJ",0.230534802602199,0.00889376083164818,0.397369273244834,0.951745741779073,0.999783888926847,0.0206765917144651,0.305956092837152
"2","Peoria","Illinois",33.1,0.4739,0.5261,2.4,"IL",0.599270680257828,0.0260576337225036,0.13694147674351,0.838658434883208,0.999770988468367,0.0559071641061511,0.0633485306882632
"3","O'Fallon","Missouri",36,0.4911,0.5089,2.77,"MO",0.866692913385827,0.0577968026260018,0.231308092248566,0.59831160116075,0.99949137881282,0.0680096904694703,0.0384443503622166
"4","Hampton","Virginia",35.5,0.4852,0.5148,2.48,"VA",0.421050837287951,0.0298428641122714,0.091202142315555,0.939069391621952,0.99967535970414,0.143916631245695,0.04546587128263
"5","Lakewood","Colorado",37.7,0.4982,0.5018,2.29,"CO",0.751251916198263,0.0561552958791326,0.770450134779826,0.267349851289845,0.999748672554913,0.0654568809022931,0.0928572832904076
"6","Mesa","Arizona",36.9,0.4981,0.5019,2.68,"AZ",0.690899418855577,0.0868291337067692,0.778894307135919,0.608412708898309,0.999851813065539,0.0674136823833856,0.121848196289789
"7","Bryan","Texas",29.4,0.5086,0.4914,2.55,"TX",0.555491501469111,0.0744040218633264,0.669994304359127,0.815843000546678,0.999213516057165,0.0438701191143156,0.14632304581882
"8","Garland","Texas",34.5,0.4915,0.5085,3.12,"TX",0.488440622233464,0.0190548016815052,0.573290839802173,0.598109290232339,0.999938318257091,0.0439417993886065,0.265901298789035
"9","Springfield","Illinois",38.8,0.4723,0.5277,2.22,"IL",0.730560041133419,0.0477656719037739,0.0857318785281349,0.867396757286354,0.999552911331637,0.0638745766452478,0.0361941787130016
"10","Flint","Michigan",35.3,0.4983,0.5017,2.38,"MI",0.428111229005955,0.0252058302957028,0.0432960162756087,0.988215744329854,0.997745082718811,0.0382209019603854,0.0217504094733308
"11","Tacoma","Washington",37.7,0.4853,0.5147,2.48,"WA",0.627038222556957,0.0622527482178627,0.308227206883479,0.534622325104414,0.999943065395557,0.0915604712671315,0.153224332772301
"12","Waterbury","Connecticut",36.2,0.4801,0.5199,2.71,"CT",0.497511541979675,0.00705209545482206,0.551746998997131,0.868577950272851,0.999528436059153,0.0321027139797991,0.183508413980718
"13","Eagan","Minnesota",36.8,0.4765,0.5235,2.49,"MN",0.724892875349619,0.0342552796409999,0.224437567735028,0.537042579243501,0.999780399484153,0.0407162684045378,0.130370504465363
"14","Fort Smith","Arkansas",34.9,0.4915,0.5085,2.44,"AR",0.645958113133686,0.0827329322752978,0.515433336598352,0.612615077470324,0.999701961130548,0.038641646351834,0.149407562787006
"15","Carmichael","California",41,0.4632,0.5368,2.39,"CA",0.728926353149956,0.125296460388373,0.511285193358847,0.5263830202445,0.999550287700243,0.0668354029897967,0.116712805505023
"16","Daly City","California",39.7,0.505,0.495,3.26,"CA",0.216196526895383,0.00965111007979768,0.265356469360708,0.0802293645331436,0.999990771210355,0.035487079400229,0.531461707358267
"17","Murrieta","California",35.3,0.4495,0.5505,3.3,"CA",0.561939958487318,0.0384173682413314,0.565614662954004,0.365951514260268,0.999904508620507,0.0659466744372405,0.180984555984556
"18","Brentwood","New York",34.2,0.4921,0.5079,4.98,"NY",0.459035714993166,0.0776646285937436,0.796208044839287,0.839458511465842,0.998682753274616,0.023388512666165,0.424159769250063
"19","Quincy","Massachusetts",41,0.4713,0.5287,2.39,"MA",0.611506820785171,0.00940826779907441,0.0694327548477885,0.113897102977045,0.9999736086463,0.0442918326586848,0.351760672441231
"20","Boulder","Colorado",29,0.5249,0.4751,2.24,"CO",0.824241559836231,0.0366112856678979,0.48531276469753,0.155462666939838,0.999828845044913,0.0378323489407688,0.121043021370945
"21","Evanston","Illinois",36.8,0.4521,0.5479,2.29,"IL",0.644267372851299,0.0180787089557221,0.307141290400384,0.570096590227875,0.999825077880097,0.027249976828251,0.198654714457847
