"","city","avg_price"
"1","Chicago",505870.94041
"2","New York",2985802.434522
"3","Houston",542926.261007
"4","Brooklyn",1279951.075116
"5","Philadelphia",399897.622295
"6","San Antonio",365063.556342
"7","Miami",984099.923045
"8","Jacksonville",336347.537316
"9","Las Vegas",662093.489753
"10","Atlanta",627081.843542
"11","Cape Coral",327475.161728
"12","Lehigh Acres",89964.519352
"13","Naples",1256588.814995
"14","Los Angeles",2378753.144895
"15","Pt Charlotte",126369.595779
"16","Washington",766127.139317
"17","Baltimore",255450.327941
"18","Lancaster",285947.258969
"19","Charlotte",544530.52086
"20","Dallas",612376.063932
"21","Cleveland",216506.805786
"22","Tucson",408268.506772
"23","Austin",861692.301546
"24","Portland",664664.913414
"25","Columbus",304639.702991
"26","Ocala",315575.769081
"27","Indianapolis",275579.290719
"28","Orlando",477645.372622
"29","Richmond",400058.766969
"30","Detroit",138098.754557
"31","Saint Louis",322894.299076
"32","Kansas City",348827.695782
"33","Springfield",306035.712111
"34","Phoenix",613359.134385
"35","Denver",758444.726259
"36","Palm Bay",187186.18838
"37","Flushing",893380.531938
"38","Myrtle Beach",410215.405952
"39","Louisville",308899.93963
"40","Bronx",624588.163426
"41","Tampa",684802.922758
"42","Madison",443148.363532
"43","Pittsburgh",318355.372654
"44","Jackson",468315.808696
"45","Georgetown",482285.20305
"46","Punta Gorda",275685.020169
"47","Lincoln",354242.941299
"48","Fort Worth",434617.479532
"49","Cincinnati",367941.351852
"50","Dayton",335580.514551
"51","Greenville",360506.705907
"52","Fort Lauderdale",1500811.585025
"53","Memphis",195771.835169
"54","Oklahoma City",321288.059124
"55","Saint Augustine",525495.966175
"56","Miami Beach",2559123.858946
"57","Canton",408115.322552
"58","Rochester",284644.291721
"59","Fort Myers",518149.550031
"60","Henderson",707230.838106
"61","Lexington",404298.423197
"62","Columbia",353600.46312
"63","Fayetteville",355456.975281
"64","Seattle",1066855.826888
"65","Wilmington",468680.82785
"66","Franklin",558094.59229
"67","Nashville",734534.1621
"68","Conroe",442270.965581
"69","Sarasota",1064889.793785
"70","West Palm Beach",820206.33018
"71","Birmingham",370802.17381
"72","Montgomery",413693.97458
"73","Aurora",450752.595775
