"","city","state_code","population","land_area_km2"
"1","New York","NY",8804190,778.3
"2","Los Angeles","CA",3898747,1216
"3","Chicago","IL",2746388,589.7
"4","Houston","TX",2304580,1658.6
"5","Phoenix","AZ",1608139,1341.6
"6","Philadelphia","PA",1603797,348.1
"7","San Antonio","TX",1434625,1291.9
"8","San Diego","CA",1386932,844.1
"9","Dallas","TX",1304379,879.6
"10","Austin","TX",961855,828.5
"11","Jacksonville","FL",949611,1935.5
"12","San Jose","CA",1013240,461.8
"13","Fort Worth","TX",918915,899.5
"14","Columbus","OH",905748,569.8
"15","Charlotte","NC",874579,798.5
"16","Indianapolis","IN",887642,936.5
"17","San Francisco","CA",873965,121.5
"18","Seattle","WA",737015,217
"19","Denver","CO",715522,396.5
"20","Oklahoma City","OK",681054,1570.1
"21","Nashville","TN",689447,1232.3
"22","El Paso","TX",678815,669.3
"23","Washington","DC",689545,158.2
"24","Las Vegas","NV",641903,367.3
"25","Boston","MA",675647,125.1
"26","Portland","OR",652503,345.8
"27","Louisville","KY",633045,841.5
"28","Memphis","TN",633104,769.2
"29","Detroit","MI",639111,359.2
"30","Baltimore","MD",585708,209.5
"31","Milwaukee","WI",577222,249.2
"32","Albuquerque","NM",564559,485.1
"33","Tucson","AZ",542629,624.2
"34","Fresno","CA",542107,298.4
"35","Sacramento","CA",524943,255.4
"36","Mesa","AZ",504258,359.2
"37","Kansas City","MO",508090,815.1
"38","Atlanta","GA",498715,350.4
"39","Colorado Springs","CO",478961,506.1
"40","Omaha","NE",486051,366.7
"41","Raleigh","NC",467665,381
"42","Virginia Beach","VA",459470,633.8
"43","Long Beach","CA",466742,131.3
"44","Miami","FL",442241,93.2
"45","Oakland","CA",440646,144.8
"46","Minneapolis","MN",429954,139.9
"47","Tulsa","OK",413066,511.5
"48","Bakersfield","CA",403455,388
"49","Tampa","FL",384959,295.3
"50","Wichita","KS",397532,419.6
"51","Arlington","TX",394266,248.4
"52","Aurora","CO",386261,414.7
"53","New Orleans","LA",383997,439
"54","Cleveland","OH",372624,201.2
"55","Anaheim","CA",346824,130.3
"56","Honolulu","HI",350964,156.7
"57","Henderson","NV",317610,275.1
"58","Stockton","CA",320804,161.1
"59","Riverside","CA",314998,210.3
"60","Lexington","KY",322570,734.5
"61","Corpus Christi","TX",317863,420.1
"62","Orlando","FL",307573,286.5
"63","Irvine","CA",307670,169.9
"64","Cincinnati","OH",309317,201.5
"65","Santa Ana","CA",310227,70.7
"66","Newark","NJ",311549,62.4
"67","Saint Paul","MN",311527,134.7
"68","Pittsburgh","PA",302971,143.5
"69","Greensboro","NC",299035,335.7
"70","Lincoln","NE",291082,253
"71","Durham","NC",283506,292.2
"72","Plano","TX",285494,185.7
"73","Anchorage","AK",291247,4420.6
"74","Jersey City","NJ",292449,38.1
"75","St. Louis","MO",301578,159.8
"76","Chandler","AZ",275987,169.1
"77","North Las Vegas","NV",262527,262.4
"78","Chula Vista","CA",275487,128.5
"79","Buffalo","NY",278349,104.6
"80","Gilbert","AZ",267918,177.7
"81","Reno","NV",264165,281.8
"82","Madison","WI",269840,206.2
"83","Fort Wayne","IN",263886,286.7
"84","Toledo","OH",270871,208.5
"85","Lubbock","TX",257141,348.6
"86","St. Petersburg","FL",258308,160.1
"87","Laredo","TX",255205,275.8
"88","Irving","TX",256684,173.5
"89","Chesapeake","VA",249422,876.7
"90","Glendale","AZ",248325,159.5
"91","Winston-Salem","NC",249545,343.7
"92","Scottsdale","AZ",241361,476.6
"93","Garland","TX",246018,147.9
"94","Boise","ID",235684,217.6
"95","Norfolk","VA",238005,138
"96","Port St. Lucie","FL",204851,308.7
"97","Spokane","WA",228989,178.2
"98","Richmond","VA",226610,155.1
"99","Fremont","CA",230504,202.8
"100","Huntsville","AL",215006,564.9
"101","Tacoma","WA",219346,128.7
"102","Baton Rouge","LA",227470,223.5
"103","Santa Clarita","CA",228673,183.4
