"","city","state","region","size","avg_rent","median_rent","unemp_rate","avg_income","cost_of_living","price_parity","commute_time","median_aqi","transit_score"
"1","New York","New York","Northeast","Large",3272,2323,3.8,85136,128,114.58,36.7,50,6.9
"2","Los Angeles","California","West","Large",2857,1925,3.9,75821,140.6,113.82,30.7,70,6.2
"3","Chicago","Illinois","Midwest","Large",1975,1364,4.2,71992,100.1,105.42,31.8,50,5.1
"4","Dallas","Texas","South","Large",1754,1440,3.2,66727,98.5,103.85,28.6,51,2.8
"5","Houston","Texas","South","Large",1620,1216,3.9,64837,95.8,99.74,30,57,2.8
"6","Washington","District of Columbia","South","Large",2421,1740,2.8,80822,120.1,111.34,34.8,45,5.5
"7","Philadelphia","Pennsylvania","Northeast","Large",1663,1314,3.4,72379,103.4,99.21,29.8,48,5.3
"8","Miami","Florida","South","Large",3201,1670,1.9,73522,110.1,109.92,29.6,45,5.2
"9","Atlanta","Georgia","South","Large",1991,1489,2.6,63219,100.3,99.12,32.1,48,2.5
"10","Boston","Massachusetts","Northeast","Large",3419,2368,2.9,92290,132.6,109.69,31.2,44,5
"11","Phoenix","Arizona","West","Large",1755,1584,2.7,58308,104.3,99.18,26.4,77,4.1
"12","San Francisco","California","West","Large",3422,3000,2.4,123711,178.6,119.83,33.6,44,6.8
"13","Riverside","California","West","Large",2399,1533,3.6,50384,116.1,105.53,32.9,84,3.8
"14","Detroit","Michigan","Midwest","Large",1201,1024,3.2,60965,93.2,96.11,27.1,54,2.8
"15","Seattle","Washington","West","Large",2162,2011,3.4,89274,124.6,114.57,30.8,44,5.1
"16","Minneapolis","Minnesota","Midwest","Large",1625,1239,2.6,71912,105.4,103.58,25.3,44,3.7
"17","San Diego","California","West","Large",3016,2055,2.9,72637,136.2,115.15,26,49,5.3
"18","Tampa","Florida","South","Large",2146,1488,2.2,58315,101.4,98.97,27.2,46,3.3
"19","Denver","Colorado","West","Large",1956,1665,2.8,78150,112.1,109.16,27.3,61,5.3
"20","Baltimore","Maryland","Northeast","Large",1611,1359,3.1,70490,107,105.01,31,45,4.2
"21","St. Louis","Missouri","Midwest","Large",1217,853,2.5,64769,89.6,96.25,26,52,3.8
"22","Orlando","Florida","South","Large",1974,1536,2.3,53102,101.4,99.82,28.7,44,3.3
"23","Charlotte","North Carolina","South","Large",1767,1288,3.1,62056,97.9,96.6,26.5,47,2.2
"24","San Antonio","Texas","South","Large",1441,1138,3.3,53648,92.7,96.38,26.7,51,4.5
"25","Portland","Oregon","West","Large",1793,1689,4.1,68374,116.5,105.37,27.5,34,6.1
"26","Sacramento","California","West","Large",2068,1518,3.3,65972,120.3,106.29,27.1,54,4
"27","Pittsburgh","Pennsylvania","Northeast","Large",1403,977,3.7,65730,93.1,95.15,26.7,46,3.3
"28","Austin","Texas","South","Large",1840,1483,2.7,71372,106.6,100.04,27.1,45,2.8
"29","Las Vegas","Nevada","West","Large",1781,1309,5.4,58276,100.7,95.54,24.7,63,4.8
"30","Cincinnati","Ohio","Midwest","Large",1395,899,3.1,63116,92.4,94.34,24.7,51,2.5
"31","Kansas City","Missouri","Midwest","Large",1293,1082,2.4,61410,91.6,93.66,23.2,48,2.3
"32","Columbus","Ohio","Midwest","Large",1343,1010,3.1,59867,93.9,95.02,24,44,2.9
"33","Indianapolis","Indiana","Midwest","Large",1303,956,2.2,65805,90.2,95.03,24.7,48,2.4
"34","Cleveland","Ohio","Midwest","Large",1273,872,3.4,61948,90,94.2,24.6,47,4.7
"35","San Jose","California","West","Large",3016,2763,2.1,136338,173.5,111.64,29,44,6.4
"36","Nashville","Tennessee","South","Large",1830,1353,2.3,70026,100.1,95.53,27.6,45,1.7
"37","Virginia Beach","Virginia","South","Large",1842,1215,3,56716,99,97.79,24,37,3.2
"38","Providence","Rhode Island","Northeast","Large",1962,1275,2.7,64566,111.5,101.2,26,42,3.5
"39","Jacksonville","Florida","South","Large",1657,1195,2.1,59271,99,98.73,27.5,46,2.6
"40","Milwaukee","Wisconsin","Midwest","Large",1130,971,2.4,65803,93.8,95.61,22.7,44,4.6
"41","Oklahoma City","Oklahoma","South","Large",1215,873,2.4,57150,87.3,92.76,22.5,50,1.7
"42","Raleigh","North Carolina","South","Large",1640,1353,2.7,66428,99.7,97.58,25.9,43,2.3
"43","Memphis","Tennessee","South","Large",1292,962,3.7,56568,88.2,90.62,24.4,43,2.3
"44","Richmond","Virginia","South","Large",1454,1271,2.9,65834,99.2,97.92,25.6,39,2.4
"45","Louisville/Jefferson County","Kentucky","South","Large",1262,931,2.7,59425,91.6,91.81,23.9,44,2.9
"46","New Orleans","Louisiana","South","Large",1615,1075,3.5,61327,92.4,94.42,26,45,3.4
"47","Salt Lake City","Utah","West","Large",1740,1345,2,61551,105.9,96.23,22.5,51,6.6
"48","Hartford","Connecticut","Northeast","Large",1396,1287,NA,69951,104.8,101.71,24.5,42,3.9
"49","Buffalo","New York","Northeast","Large",1222,971,3.2,56808,97.3,95.11,21.7,40,3.9
"50","Birmingham","Alabama","South","Large",1211,1032,2,59107,90.7,90.86,25.8,51,0.1
"51","Rochester","New York","Northeast","Large",1303,1009,2.9,58500,96.6,97.69,21.6,39,2.5
"52","Grand Rapids","Michigan","Midwest","Large",1694,1070,3.1,57667,93.7,96.69,21.2,42,2.6
"53","Tucson","Arizona","West","Large",1523,951,3.1,52942,97.7,92.92,24.4,48,3.7
"54","Urban Honolulu","Hawaii","West","Large",2428,1892,3.4,63912,NA,114.74,29,29,6.4
"55","Tulsa","Oklahoma","South","Large",1166,830,2.7,59941,86.7,92.02,21.8,48,1.7
"56","Fresno","California","West","Large",1747,1060,6.2,51422,105.9,101.56,22.8,64,3.2
"57","Worcester","Massachusetts","Northeast","Mid-Sized",1813,1361,3.3,64540,113.2,100,28.8,42,2.1
"58","Omaha","Nebraska","Midwest","Mid-Sized",1225,940,2.5,64229,92.9,93.64,20.5,44,2.7
"59","Bridgeport","Connecticut","Northeast","Mid-Sized",1662,1434,NA,127391,NA,105.8,30.2,44,4.5
"60","Greenville","South Carolina","South","Mid-Sized",1545,1007,2.6,50908,95,93.51,23.7,44,0.9
"61","Albuquerque","New Mexico","West","Mid-Sized",1503,1012,3.1,52263,92.9,92.26,23.7,54,3.6
"62","Bakersfield","California","West","Mid-Sized",1836,927,6.7,45961,102.9,100.94,22.6,57,3.1
"63","Albany","New York","Northeast","Mid-Sized",1475,1166,2.5,67788,100.1,99.16,23.4,39,3.6
"64","Knoxville","Tennessee","South","Mid-Sized",1691,1024,2.6,55752,91.6,90.37,23.7,45,1.1
"65","McAllen","Texas","South","Mid-Sized",1393,742,6.8,34503,86,87.76,21.6,45,1.1
"66","Baton Rouge","Louisiana","South","Mid-Sized",1299,939,3,56396,91.1,93.19,25.6,46,1.8
"67","El Paso","Texas","South","Mid-Sized",1467,884,4,44058,88.6,93.13,23.7,56,4.1
"68","New Haven","Connecticut","Northeast","Mid-Sized",1809,1439,NA,64643,107.7,101.25,24.8,42,4.6
"69","Allentown","Pennsylvania","Northeast","Mid-Sized",1608,1188,3.3,62618,98.9,98.31,27.9,39,2.8
"70","Oxnard","California","West","Mid-Sized",2837,2189,3.2,73375,NA,111.4,25.7,48,3.4
"71","North Port","Florida","South","Mid-Sized",2174,1378,2.2,69376,NA,99.31,25.9,43,3
"72","Columbia","South Carolina","South","Mid-Sized",1393,1077,2.8,53286,91.9,93.32,24.3,42,1.7
"73","Dayton","Ohio","Midwest","Mid-Sized",1047,809,3.5,55572,88.4,92.54,21.8,44,3.1
"74","Charleston","South Carolina","South","Mid-Sized",2166,1484,2.5,60754,101.7,99.15,25.9,40,1.5
"75","Stockton","California","West","Mid-Sized",1915,1257,5.2,57783,113.6,104.61,33.3,43,3
"76","Greensboro","North Carolina","South","Mid-Sized",1421,981,3.6,51872,91,92.82,22.1,43,1.8
"77","Cape Coral","Florida","South","Mid-Sized",2356,1240,2.9,62885,NA,99.97,27.1,41,2.3
"78","Colorado Springs","Colorado","West","Mid-Sized",1784,1270,3,58736,102.2,96.84,22.8,48,2.3
