"city","count(*)","avg(price)"
"Chicago",13814,505870.940410
"New York",11740,2985802.434522
"Houston",11720,542926.261007
"Brooklyn",9705,1279951.075116
"Philadelphia",8549,399897.622295
"San Antonio",8058,365063.556342
"Miami",7303,984099.923045
"Jacksonville",6311,336347.537316
"Las Vegas",6148,662093.489753
"Atlanta",4800,627081.843542
"Cape Coral",4792,327475.161728
"Lehigh Acres",4754,89964.519352
"Naples",4735,1256588.814995
"Los Angeles",4554,2378753.144895
"Pt Charlotte",4312,126369.595779
"Washington",4156,766127.139317
"Baltimore",4080,255450.327941
"Lancaster",3958,285947.258969
"Charlotte",3860,544530.520860
"Dallas",3754,612376.063932
"Cleveland",3733,216506.805786
"Tucson",3544,408268.506772
"Austin",3492,861692.301546
"Portland",3411,664664.913414
"Columbus",3377,304639.702991
"Ocala",3341,315575.769081
"Indianapolis",3254,275579.290719
"Orlando",3207,477645.372622
"Richmond",3197,400058.766969
"Detroit",3072,138098.754557
"Saint Louis",3031,322894.299076
"Kansas City",3011,348827.695782
"Springfield",2959,306035.712111
"Phoenix",2917,613359.134385
"Denver",2780,758444.726259
"Palm Bay",2771,187186.188380
"Flushing",2771,893380.531938
"Myrtle Beach",2722,410215.405952
"Louisville",2700,308899.939630
"Bronx",2674,624588.163426
"Tampa",2654,684802.922758
"Madison",2616,443148.363532
"Pittsburgh",2611,318355.372654
"Jackson",2530,468315.808696
"Georgetown",2492,482285.203050
"Punta Gorda",2479,275685.020169
"Lincoln",2402,354242.941299
"Fort Worth",2394,434617.479532
"Cincinnati",2376,367941.351852
"Dayton",2371,335580.514551
"Greenville",2370,360506.705907
"Fort Lauderdale",2364,1500811.585025
"Memphis",2360,195771.835169
"Oklahoma City",2351,321288.059124
"Saint Augustine",2306,525495.966175
"Miami Beach",2297,2559123.858946
"Canton",2288,408115.322552
"Rochester",2283,284644.291721
"Fort Myers",2274,518149.550031
"Henderson",2270,707230.838106
"Lexington",2257,404298.423197
"Columbia",2239,353600.463120
"Fayetteville",2225,355456.975281
"Seattle",2224,1066855.826888
"Wilmington",2219,468680.827850
"Franklin",2208,558094.592290
"Nashville",2192,734534.162100
"Conroe",2150,442270.965581
"Sarasota",2124,1064889.793785
"West Palm Beach",2114,820206.330180
"Birmingham",2100,370802.173810
"Montgomery",2085,413693.974580
"Aurora",2083,450752.595775
"Salem",2074,415303.836066
"San Diego",2073,1170916.421129
"New Orleans",2068,432753.226789
"Port Saint Lucie",2066,343183.044530
"Clarksville",2043,335348.613803
"Monroe",2019,401527.562159
"Gainesville",2015,477051.505211
"Palm Coast",2003,306903.176735
"Kissimmee",1985,430139.515365
"Knoxville",1971,409872.429152
"Baton Rouge",1942,406052.518023
"Honolulu",1928,1266646.091805
"San Francisco",1902,1907322.900988
"Milwaukee",1896,213218.513713
"El Paso",1887,281869.127186
"Katy",1871,483869.159273
"Lebanon",1867,429624.244635
"Arlington",1853,703642.658392
"Decatur",1839,292091.437194
"Auburn",1822,444725.038968
"Albuquerque",1810,377000.696133
"Minneapolis",1796,445427.274499
"Raleigh",1781,603262.606401
"Alexandria",1745,512096.398854
"Buffalo",1734,254007.146482
"Davenport",1719,331032.757999
"Spring Hill",1714,421961.656159
"Jamaica",1697,731936.931055
"Pahrump",1674,308580.939665
"Saint Petersburg",1672,650149.034839
"Bradenton",1660,588301.095783
"Athens",1632,360261.753064
"Conway",1620,326830.771605
"Huntsville",1620,431583.463580
"Florence",1609,333437.430081
"Omaha",1605,315915.766355
"Boca Raton",1593,1521720.517891
"Charleston",1593,548287.888198
"Bakersfield",1574,466365.714104
"Lafayette",1571,448197.781031
"Corpus Christi",1566,373252.538314
"Colorado Springs",1563,601470.249520
"Covington",1558,335679.888960
